partner_id,partner_name,phone,city,vehicle_type,rating,total_deliveries,join_date
140,Pallavi Kapoor,+919429124402,Jaipur,Bike,4.7,565,2024-07-17
141,Nikhil Sharma,+918987744439,Kolkata,Bicycle,3.9,272,2023-08-26
142,Vihaan Joshi,+919791213115,Mumbai,Scooter,4.6,2366,2024-10-06
143,Pankaj Mehta,+917261412194,Mumbai,Scooter,4.0,2986,2023-07-25
144,Pankaj Reddy,+919217337132,Mumbai,Scooter,4.0,965,2025-04-22
145,Gaurav Srivastava,+917664755696,Delhi,Bike,5.0,76,2024-10-09
146,Pallavi Tiwari,+917861999412,Mumbai,Bike,4.2,545,2024-11-14
147,Reyansh Nair,+917877434572,Mumbai,Bike,4.0,1650,2023-07-27
148,Ayaan Rao,+918737560541,Bangalore,Bike,3.5,2289,2024-02-22
149,Pallavi Agarwal,+918886048322,Jaipur,Scooter,3.9,2655,2023-06-23
150,Diya Kumar,+919823792255,Delhi,Scooter,4.4,870,2024-09-30
151,Deepak Rao,+918243174124,Chennai,Bicycle,4.0,2784,2024-03-08
152,Sneha Iyer,+919996395544,Kolkata,Bike,4.6,656,2023-06-29
153,Riya Bhat,+917515939381,Hyderabad,Bike,3.6,2692,2025-03-28
154,Nikhil Das,+918909024435,Mumbai,Bicycle,4.9,1966,2025-06-10
155,Simran Joshi,+917039170363,Ahmedabad,Bike,4.7,2111,2024-01-02
156,Neha Chauhan,+919255096841,Bangalore,Bike,4.3,1491,2025-04-02
157,Varun Banerjee,+918457244076,Bangalore,Bicycle,3.3,2746,2024-04-06
158,Sneha Gupta,+919770829463,Bangalore,Bicycle,4.2,788,2025-01-10
159,Ritika Yadav,+919177463456,Kolkata,Scooter,3.3,1377,2025-01-23
160,Nisha Shah,+919510379269,Chennai,Bike,3.1,701,2024-01-24
161,Reyansh Agarwal,+917456213281,Hyderabad,Scooter,3.6,998,2025-06-20
162,Aadhya Singh,+917747315537,Pune,Bike,4.9,313,2023-08-03
163,Pallavi Joshi,+917491661170,Mumbai,Scooter,3.9,1583,2025-02-11
164,Gaurav Saxena,+917126527390,Lucknow,Bike,4.4,1596,2023-10-15
165,Gaurav Banerjee,+919390012828,Delhi,Bike,3.9,1221,2024-01-17
166,Myra Mishra,+917696169460,Bangalore,Scooter,4.6,402,2025-01-17
167,Vivaan Mukherjee,+919871865327,Mumbai,Bike,3.3,71,2024-06-03
168,Tanya Menon,+919440808550,Hyderabad,Bike,3.4,2680,2024-11-22
169,Ankita Reddy,+917891097399,Hyderabad,Bike,3.7,2583,2024-12-24
170,Krishna Dubey,+917288427147,Bangalore,Scooter,4.7,2381,2023-08-20
171,Krishna Dubey,+919221558385,Delhi,Bike,3.5,2513,2024-12-05
172,Amit Sharma,+917962163813,Kolkata,Bike,4.7,1649,2025-05-21
173,Neha Gupta,+917678016494,Ahmedabad,Bike,4.2,2170,2025-02-15
174,Manish Rao,+918714635390,Chennai,Scooter,4.8,2437,2024-09-25
175,Ira Mukherjee,+917128754686,Mumbai,Bike,3.4,293,2023-10-21
176,Sara Kapoor,+918415660595,Lucknow,Scooter,4.8,1015,2024-10-18
177,Arjun Dubey,+919421743905,Lucknow,Scooter,4.5,194,2024-05-20
178,Arjun Menon,+919569024491,Pune,Bicycle,4.8,2011,2023-10-11
179,Kiara Mishra,+917179276130,Mumbai,Bike,3.5,1484,2024-08-15
180,Deepak Rao,+917978200864,Mumbai,Bike,4.5,853,2024-11-29
181,Harish Srivastava,+918629460719,Pune,Scooter,4.1,263,2024-07-01
182,Tanya Iyer,+919986894360,Mumbai,Scooter,4.1,523,2024-08-22
183,Ayaan Chauhan,+919644210361,Ahmedabad,Bike,3.4,1838,2023-07-30
184,Aadhya Nair,+917395097504,Hyderabad,Bike,4.5,2246,2025-01-02
185,Aditya Dubey,+917063988819,Jaipur,Bike,3.1,282,2023-10-08
186,Karan Patel,+918213740507,Mumbai,Bike,4.3,1050,2024-03-26
187,Krishna Das,+918708618083,Bangalore,Bike,3.2,1074,2024-12-08
188,Sara Chopra,+918533124286,Lucknow,Bicycle,3.9,1289,2024-06-10
189,Tanya Kapoor,+918257065672,Jaipur,Bike,4.8,1356,2025-05-15
190,Rajesh Malhotra,+917448300851,Mumbai,Bicycle,4.4,2597,2024-10-10
191,Kiara Gupta,+917874261776,Lucknow,Scooter,4.0,1299,2025-06-29
192,Kavita Reddy,+917527198854,Bangalore,Scooter,3.3,1012,2025-05-16
193,Karan Mukherjee,+918948897153,Ahmedabad,Bike,4.7,1157,2024-03-11
194,Nisha Iyer,+918290263359,Kolkata,Bike,3.6,2547,2024-06-28
195,Ankita Sharma,+918643203736,Bangalore,Bike,3.4,805,2025-04-06
196,Meera Kapoor,+917224453476,Chennai,Bike,4.5,156,2025-02-13
197,Akash Chauhan,+918444046587,Lucknow,Bicycle,4.6,2470,2024-01-08
198,Akash Sharma,+918464344970,Pune,Scooter,4.7,283,2023-09-20
199,Kavita Iyer,+919911856946,Delhi,Bicycle,4.1,1786,2025-01-07
200,Varun Banerjee,+919228713769,Delhi,Bicycle,3.9,1025,2023-10-14
201,Aarav Joshi,+919931739224,Ahmedabad,Bike,3.5,2273,2024-03-29
202,Amit Banerjee,+918694799285,Mumbai,Bike,3.5,1076,2025-03-30
203,Tanya Das,+917052996109,Mumbai,Scooter,3.6,1133,2023-12-01
204,Karan Bhat,+917074159865,Bangalore,Bike,4.9,2016,2025-03-15
205,Kavita Reddy,+918754970413,Mumbai,Bicycle,3.6,2549,2024-12-16
206,Rahul Gupta,+918891673334,Mumbai,Scooter,3.6,2077,2023-10-09
207,Aanya Mukherjee,+917749451693,Mumbai,Scooter,3.1,518,2025-04-01
208,Aditya Patel,+919939653369,Hyderabad,Bike,3.6,2316,2025-06-04
209,Aanya Verma,+918112631668,Ahmedabad,Bike,4.7,1497,2024-12-05
210,Ritika Verma,+919579466477,Delhi,Bike,4.0,513,2024-11-05
211,Arjun Nair,+917876353362,Delhi,Bike,4.6,1753,2023-08-13
212,Divya Menon,+918215838266,Mumbai,Bike,4.6,1422,2024-07-22
213,Divya Shah,+919021576811,Lucknow,Bike,3.1,1558,2023-07-16
214,Riya Yadav,+917644516752,Lucknow,Bike,4.2,1332,2024-11-05
215,Ritika Pandey,+919182626233,Kolkata,Scooter,4.9,1601,2025-01-17
216,Aditya Agarwal,+917644565869,Bangalore,Bicycle,3.2,366,2024-01-16
217,Suresh Malhotra,+919467197767,Chennai,Scooter,4.1,546,2024-11-22
218,Vihaan Das,+919028638285,Chennai,Scooter,3.6,848,2025-01-10
219,Riya Yadav,+918048096551,Delhi,Scooter,5.0,995,2024-09-09
220,Rahul Mishra,+917495711899,Pune,Bike,4.9,1729,2024-06-05
221,Sai Shah,+919407145027,Hyderabad,Bicycle,4.3,2528,2024-01-22
222,Karan Dubey,+918798948060,Delhi,Scooter,5.0,2252,2024-02-06
223,Tanya Yadav,+918750703556,Chennai,Scooter,4.2,1225,2024-05-15
224,Rahul Singh,+917350065428,Bangalore,Scooter,3.3,2074,2025-03-09
225,Tanya Reddy,+917772732074,Jaipur,Bike,3.2,1128,2024-12-19
226,Ritika Yadav,+919018034482,Pune,Bike,3.1,1817,2023-06-25
227,Pankaj Patel,+917313595787,Mumbai,Bicycle,4.8,1779,2024-05-28
228,Krishna Iyer,+919993285955,Hyderabad,Scooter,3.2,1428,2025-01-26
229,Harish Das,+917462876289,Ahmedabad,Bike,4.5,1503,2024-09-02
230,Vikram Mukherjee,+918931677475,Pune,Bike,4.5,2917,2023-10-16
231,Varun Patel,+919532132885,Lucknow,Bicycle,3.2,81,2025-01-28
232,Nisha Shah,+919894408903,Chennai,Bike,3.9,2133,2025-06-09
233,Nisha Joshi,+917416176337,Delhi,Bike,3.1,2170,2024-11-19
234,Nisha Malhotra,+918832617596,Delhi,Bike,4.5,636,2023-07-13
235,Megha Chauhan,+917904866656,Bangalore,Bike,4.8,1337,2023-09-10
236,Neha Rao,+917711214547,Mumbai,Bike,3.9,743,2024-03-22
237,Ira Das,+917455779556,Lucknow,Scooter,3.3,897,2024-12-17
238,Manish Pandey,+917725215637,Mumbai,Bicycle,4.9,2261,2024-12-02
239,Myra Sharma,+919097515527,Jaipur,Bike,3.4,2389,2024-08-10
240,Varun Bhat,+919237222263,Mumbai,Bike,4.8,2983,2025-05-24
241,Ayaan Bhat,+918856568114,Hyderabad,Bike,3.3,1190,2025-06-19
242,Nikhil Singh,+918519220830,Kolkata,Scooter,3.4,354,2024-04-30
243,Ananya Malhotra,+918440262170,Delhi,Scooter,4.0,353,2025-05-24
244,Pankaj Mehta,+917164741407,Bangalore,Bicycle,4.6,1350,2023-12-12
245,Kavita Agarwal,+919688996563,Mumbai,Scooter,3.0,610,2025-01-21
246,Rohit Srivastava,+917945792829,Chennai,Bike,3.3,816,2025-06-21
247,Ankita Rao,+917566042039,Delhi,Bicycle,4.9,927,2023-06-04
248,Meera Gupta,+919107502453,Hyderabad,Bike,3.4,1762,2025-05-05
249,Ira Das,+918633334081,Chennai,Bike,3.7,2222,2025-04-03
250,Diya Chauhan,+918288922118,Jaipur,Bicycle,4.3,2057,2025-03-07
251,Sneha Das,+918533852538,Hyderabad,Bike,3.4,1226,2024-08-03
252,Karan Mehta,+918062558845,Chennai,Bike,3.9,1356,2025-04-07
253,Ayaan Shah,+919993457270,Bangalore,Bike,4.8,2053,2025-02-05
254,Vikram Agarwal,+918008716202,Mumbai,Bike,3.4,1725,2023-08-02
255,Kavita Pandey,+918388099149,Delhi,Bike,3.8,1860,2024-08-09
256,Sneha Joshi,+917234648513,Delhi,Scooter,3.7,236,2024-04-11
257,Karan Menon,+917950519416,Hyderabad,Bike,3.4,2611,2023-09-21
258,Pallavi Das,+918415982761,Mumbai,Scooter,4.9,136,2024-06-23
259,Sai Pandey,+918431461393,Lucknow,Scooter,4.1,2732,2023-07-21
260,Swati Reddy,+918555198003,Hyderabad,Bicycle,4.7,1670,2025-06-05
261,Aanya Rao,+917693225639,Lucknow,Bike,3.4,1068,2023-06-14
262,Aditya Srivastava,+917086021207,Pune,Scooter,4.0,2036,2023-07-14
263,Ananya Rao,+918294788502,Mumbai,Scooter,4.4,188,2024-03-05
264,Megha Singh,+918622882315,Chennai,Bike,4.5,1155,2023-08-26
265,Arjun Gupta,+919166852486,Pune,Scooter,3.8,110,2025-06-30
266,Rajesh Das,+917652180311,Mumbai,Scooter,3.8,2530,2024-04-15
267,Rahul Menon,+919200550682,Pune,Bike,3.9,458,2024-02-26
268,Divya Banerjee,+919024649090,Bangalore,Bike,3.4,1714,2024-12-26
269,Kiara Chopra,+918221587418,Lucknow,Scooter,3.5,120,2024-10-21
270,Varun Iyer,+918600896084,Kolkata,Scooter,3.9,2416,2023-06-26
271,Sneha Pandey,+917996928695,Bangalore,Bike,3.2,1322,2024-05-06
272,Ishaan Dubey,+919705459281,Ahmedabad,Bike,3.3,2056,2025-01-28
273,Aadhya Gupta,+917607010161,Bangalore,Scooter,4.0,2370,2024-01-25
274,Vihaan Pandey,+919119213056,Delhi,Bike,3.7,666,2023-07-08
275,Rahul Tiwari,+919427998100,Chennai,Bicycle,3.5,906,2024-12-27
276,Ankita Kapoor,+919146691096,Delhi,Scooter,3.6,2953,2024-10-07
277,Manish Kapoor,+917349757670,Lucknow,Bike,3.2,571,2023-06-14
278,Ananya Malhotra,+917521742718,Mumbai,Bike,4.9,209,2024-08-08
279,Ankita Patel,+919689357814,Kolkata,Bike,4.5,2290,2024-08-02
280,Sneha Sharma,+918274535954,Mumbai,Bicycle,4.4,2821,2024-03-04
281,Swati Mehta,+919641836466,Jaipur,Scooter,3.3,1238,2024-11-17
282,Shruti Reddy,+919637109140,Ahmedabad,Bike,4.2,1983,2024-09-16
283,Sara Yadav,+918418100147,Lucknow,Scooter,4.7,604,2023-11-16
284,Swati Tiwari,+919035257974,Mumbai,Bike,3.3,324,2023-06-06
285,Priya Tiwari,+917806055547,Delhi,Bike,3.9,437,2023-08-02
286,Pallavi Bhat,+919553162493,Mumbai,Bike,4.1,975,2024-05-19
287,Gaurav Sharma,+917827385357,Delhi,Scooter,4.7,2443,2025-06-16
288,Priya Shah,+919682211099,Kolkata,Bicycle,4.1,2677,2025-04-06
289,Myra Gupta,+919545365683,Mumbai,Scooter,3.6,1126,2024-12-29
290,Reyansh Kumar,+919243337877,Hyderabad,Scooter,3.7,2475,2025-02-09
291,Kiara Dubey,+919645215335,Chennai,Bike,3.3,999,2024-01-08
292,Sai Yadav,+919641077173,Mumbai,Bike,4.7,1374,2023-08-19
293,Vihaan Kumar,+919197757357,Kolkata,Bike,3.9,1289,2024-10-25
294,Akash Singh,+918034111690,Hyderabad,Bike,3.8,1993,2024-05-29
295,Priya Saxena,+919241911542,Delhi,Bike,4.2,926,2023-11-18
296,Gaurav Saxena,+918192870312,Pune,Scooter,4.1,2057,2025-05-12
297,Ira Agarwal,+917516426007,Hyderabad,Bike,3.7,153,2024-06-09
298,Simran Pandey,+919877796004,Bangalore,Bike,4.2,832,2024-06-26
299,Pooja Patel,+917045837716,Delhi,Bike,3.4,2451,2024-04-13
300,Amit Singh,+918584273530,Lucknow,Scooter,3.0,1168,2023-07-05
301,Divya Joshi,+919755969088,Bangalore,Bike,4.4,1086,2024-03-07
302,Gaurav Verma,+919457498335,Kolkata,Bicycle,4.9,2538,2025-03-09
303,Simran Chopra,+917746340614,Bangalore,Bicycle,4.5,475,2023-07-10
304,Pooja Sharma,+919632473469,Lucknow,Bike,4.5,589,2023-08-24
305,Vikram Saxena,+917512934062,Mumbai,Scooter,3.1,449,2024-12-09
306,Kiara Srivastava,+917834006960,Chennai,Scooter,3.7,2802,2024-04-20
307,Ritika Patel,+919520490780,Pune,Bike,3.0,2771,2024-07-17
308,Vikram Saxena,+919867846113,Chennai,Bike,4.7,2104,2023-10-30
309,Varun Joshi,+917360642836,Mumbai,Bike,4.2,2870,2024-10-30
310,Vikram Patel,+919728591473,Pune,Scooter,3.0,1171,2024-12-26
311,Neha Singh,+918466527279,Bangalore,Scooter,3.2,1946,2023-08-30
312,Ayaan Yadav,+917388959643,Delhi,Bike,3.6,2616,2023-06-21
313,Tanya Patel,+917044833889,Delhi,Bike,3.2,1060,2024-04-11
314,Shruti Mukherjee,+917820708352,Pune,Scooter,3.6,1603,2025-05-23
315,Riya Patel,+918198138675,Mumbai,Bike,3.5,821,2024-03-06
316,Myra Patel,+918266724774,Delhi,Bike,3.2,1504,2025-01-13
317,Pooja Shah,+919756621281,Hyderabad,Scooter,4.4,748,2023-07-08
318,Nisha Iyer,+917668744549,Hyderabad,Bike,4.4,1470,2025-03-23
319,Shruti Dubey,+918239909831,Delhi,Scooter,4.0,1151,2023-09-01
320,Manish Pandey,+917905044043,Delhi,Bike,3.1,522,2024-11-11
321,Nikhil Mukherjee,+917800691467,Bangalore,Bike,3.6,2359,2024-06-21
322,Nikhil Banerjee,+917145383719,Delhi,Bike,3.7,82,2023-11-10
323,Vikram Chopra,+918437579139,Delhi,Bicycle,3.4,1516,2024-04-09
324,Ananya Bhat,+919348394093,Delhi,Bike,4.6,1919,2025-01-28
325,Suresh Tiwari,+918868175386,Pune,Bike,3.5,1578,2025-02-05
326,Amit Chopra,+919914375142,Bangalore,Bike,4.9,1009,2024-11-01
327,Reyansh Menon,+918829201780,Kolkata,Bicycle,3.8,166,2023-11-15
328,Manish Patel,+918290993144,Jaipur,Bicycle,4.9,862,2025-01-02
329,Akash Kumar,+917557876850,Chennai,Scooter,3.1,420,2024-04-12
330,Tanya Kumar,+918486498696,Bangalore,Bike,3.0,654,2023-12-23
331,Diya Rao,+918320817370,Mumbai,Bike,3.4,419,2025-06-11
332,Aadhya Kumar,+919940822421,Hyderabad,Scooter,3.0,702,2024-05-18
333,Reyansh Chopra,+919361497875,Pune,Scooter,4.8,2787,2024-06-20
334,Simran Tiwari,+918042568977,Kolkata,Bike,3.3,596,2024-07-14
335,Tanya Mehta,+918216311536,Kolkata,Scooter,3.8,1663,2024-11-28
336,Arjun Shah,+919097272582,Chennai,Bicycle,3.1,2542,2023-11-30
337,Tanya Nair,+918585412313,Bangalore,Scooter,3.0,2504,2024-07-12
338,Arjun Mukherjee,+917988158051,Mumbai,Bike,3.4,1833,2023-09-04
339,Amit Iyer,+919809101628,Mumbai,Bike,3.6,2815,2024-10-05
340,Aditya Joshi,+918811346167,Mumbai,Bike,4.0,485,2024-09-19
